year,global_deaths,africa_deaths,africa_share
2000,89856,79230,88.1744123931624
2001,113682,104110,91.5800214633803
2002,120140,111318,92.65690028300317
2003,177488,168534,94.95515189759308
2004,142512,134536,94.40327832042213
2005,164130,157036,95.67781636507647
2006,168533,160975,95.51541834536856
2007,120925,115385,95.41864792226586
2008,121508,115985,95.45462027191626
2009,153820,148159,96.31972435314003
2010,170962,166298,97.27190837730022
2011,119313,115863,97.1084458525056
2012,114845,111941,97.47137446123035
2013,127576,124882,97.88831755189064
2014,107082,104753,97.82503128443622
2015,145478,143470,98.61972256973563
2016,125792,123782,98.40212414143984
2017,113914,111147,97.57097459486982
2018,116043,111965,96.48578544160354
2019,135931,133687,98.3491624427099
2020,103395,102140,98.78620823057209
2021,119248,117018,98.12994767207836
2022,110045,107543,97.72638466082057
2023,97184,95598,98.3680441224893
2024,105049,103699,98.71488543441632
