year,africa_deaths,nigeria_deaths,nigeria_share
2001,104110,4317,4.1465757372010374
2002,111318,4092,3.6759553710990134
2003,168534,5343,3.170280180853715
2004,134536,6032,4.483558304097045
2005,157036,6494,4.135357497643852
2006,160975,6586,4.091318527721696
2007,115385,10289,8.917103609654635
2008,115985,8677,7.4811398025606755
2009,148159,7522,5.076978111353343
2010,166298,4238,2.548437142960228
2011,115863,3353,2.893935078497881
2012,111941,7734,6.908996703620657
2013,124882,7878,6.308355087202319
2014,104753,6082,5.806038967857723
2015,143470,9330,6.503101693733882
2016,123782,7397,5.975828472637379
2017,111147,8720,7.845465914509614
2018,111965,14936,13.33988299915152
2019,133687,26540,19.85234166373694
2020,102140,1811,1.7730565889954963
2021,117018,7828,6.689569126117349
2022,107543,6734,6.261681373962043
2023,95598,5704,5.966652022008829
2024,103699,3608,3.4793006682803114
